species,phylum,group,common_name_division,solitary_colonial,body_size_lower_cm,adult_body_size_upper_cm,adult_body_size_bin,calcareous,herbivore,predator,omnivore,deposit_feeder,filter_suspension,scavenger,trophic_level,motility_adult,habitat_type,benthic,pelagic,epibiotic,intertidal,subtidal,notes,Source,synonym,dietary_pref
Tunicate,Tunicata,Invertebrate,Tunicate,gregarious,,,SC2,no,no,no,no,no,yes,no,primary consumer,sessile,,yes,no,yes,,,"size class estimate, hard to find data",,"other tunicates; Diplosoma, Molgula",suspension feeder
Cyclopterus lumpus,Vertebrata,Vertebrate,Fish,solitary,,61,SC4,no,no,yes,no,no,no,yes,secondary consumer,motile,benthopelagic,yes,yes,no,no,yes,lives up to 13 years,"WoRMS, fishbase, bowman 2000",,carnivore
Gaidropsarus,Vertebrata,Vertebrate,Fish,solitary,,40,SC3,no,no,yes,no,no,no,no,secondary consumer,motile,benthic,yes,no,no,no,yes,"max size for gadropsarus ensis, g. argentatus = 35cm. some european ones seem larger but we're assuming its US native",fishbase,,carnivore
Morone saxatilis,Vertebrata,Vertebrate,Fish,solitary,,120,SC5,no,no,yes,no,no,no,no,secondary consumer,motile,benthic,yes,no,no,no,yes,,"WoRMS, fishbase, bowman 2001",,carnivore
Myoxocephalus octodecemspinosus,Vertebrata,Vertebrate,Fish,solitary,,46,SC3,no,no,yes,no,no,no,no,secondary consumer,motile,benthic,yes,no,no,no,yes,lives up to 11 years,"WoRMS, fishbase, bowman 2002",,carnivore
Myoxocephalus scorpius,Vertebrata,Vertebrate,Fish,solitary,,60,SC4,no,no,yes,no,no,no,no,secondary consumer,motile,benthic,yes,no,no,no,yes,,"WoRMS, fishbase, bowman 2003",,carnivore
Pholis gunnellus,Vertebrata,Vertebrate,Fish,solitary,,25,SC3,no,no,yes,no,no,no,no,secondary consumer,motile,benthic,yes,no,no,no,yes,lives up to 14 years,"WoRMS, fishbase",,carnivore
Pollachius virens,Vertebrata,Vertebrate,Fish,gregarious,,130,SC5,no,no,yes,no,no,no,no,secondary consumer,motile,benthopelagic,yes,yes,no,no,yes,lives up to 25 years,"WoRMS, fishbase, bowman 2003",,carnivore
Pseudopleuronectes americanus,Vertebrata,Vertebrate,Fish,solitary,,64,SC4,no,no,yes,no,no,no,no,secondary consumer,motile,benthic,yes,no,no,no,yes,lives up to 14 years,"WoRMS, fishbase",,carnivore
Tautoga onitis,Vertebrata,Vertebrate,Fish,solitary,,91,SC4,no,no,yes,no,no,no,no,secondary consumer,motile,benthic,yes,no,no,no,yes,,"WoRMS, fishbase",,carnivore
Tautogolabrus adspersus,Vertebrata,Vertebrate,Fish,gregarious,,38,SC3,no,no,yes,no,no,no,yes,secondary consumer,motile,benthic,yes,no,no,no,yes,,"WoRMS, fishbase",,"carnivore, scavenger"
Urophycis regia,Vertebrata,Vertebrate,Fish,solitary,,41,SC3,no,no,yes,no,no,no,no,secondary consumer,motile,benthic,yes,no,no,no,yes,,"WoRMS, fishbase",,carnivore
,,,,,,,,,,,,,,,,,,,,,,,estimated size class based on average tunicate entry,,,
