who,species,synonym,phylum,group,common_name_division,common_name_division_bgr,turf_subcanopy_canopy_algae,steneck_dethier_morphology_algae,body_size_lower_cm,adult_body_size_upper_cm,body_size_avg_marlin,body_size_avg_bin,morphology1,morphology2,dietary_pref,dietary_pref_c,trophic_level,motility_juv,motility_adult,habitat_type,benthic,pelagic,epibiotic,invasive,human_use,thermal_lower_c,thermal_upper_c,thermal_details,area,intertidal,subtidal,notes,Source,Wikipedia
,Crisia eburnea,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,1,2,small,small,calcareous,calcareous,Suspension feeder,filter-suspension,primary producer,motile,sessile,"epibenthic, epiphytic, epifaunal",yes,no,yes,no,no,,,,subtidal,no,yes,,,
Kate,Crisularia turrita,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,0.2,20,small,small-medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,no,no,,,,subtidal,no,yes,,worms,
Kate,Dendrobeania murrayana,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,0.2,30,small-medium,medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,no,no,,,,subtidal,no,yes,,worms,
Kate,Membranipora membranacea,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,0.2,20,small,small-medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,yes,no,,,,shared,yes,yes,,worms,
Kate,Patinella verrucaria,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,0.2,20,small,small-medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,no,no,,,,subtidal,no,yes,,worms,
Kate,Schizoporella unicornis,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,0.2,20,small,small-medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,no,no,,,,shared,yes,yes,,worms,
Kate,Tricellaria inopinata,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,0.2,20,small,small-medium,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic,yes,no,yes,yes,no,,,,subtidal,no,yes,,worms,
,Cryptosula pallasiana,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,,,,,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,"epibenthic, attached",yes,no,yes,no,no,,,,shared,yes,yes,,,
,Electra pilosa,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,,,,,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,epibenthic/ 'attached',yes,no,yes,,no,,,,shared,yes,yes,,sealifebase,
,Bugula neritina,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,,,,,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,,yes,no,yes,yes,no,,,,shared,yes,yes,,sealifebase,
,Celleporella hyalina,,Bryozoa,Invertebrate,Bryozoan,Bryozoan,NA,NA,,,,,calcareous,calcareous,suspension feeder,filter-suspension,primary consumer,motile,sessile,"epibenthic,encrusting",yes,no,yes,no,no,,,,shared,yes,yes,,,
